Nome,Matrículas,Tipo de Escola
Escolas,2.700,Pública
Anos iniciais,26.207,Pública
Anos finais,25.126,Pública
Ensino Médio,17.127,Pública
Creche,52.519,Pública
Pré-escola,209.559,Pública
Anos iniciais,547.879,Pública
Anos finais,433.447,Pública
Ensino Médio,365.137,Pública
EJA,54.343,Pública
Educação Especial,45.074,Pública
Escolas,4.485,Privada
Anos iniciais,14.123,Privada
Anos finais,12.527,Privada
Ensino Médio,8.980,Privada
Creche,324.157,Privada
Pré-escola,80.263,Privada
Anos iniciais,201.379,Privada
Anos finais,156.015,Privada
Ensino Médio,81.873,Privada
EJA,12.924,Privada
Educação Especial,12.040,Privada
